"X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Hencky","eyy [1] - Hencky","exy [1] - Hencky","e1 [1] - Hencky","e2 [1] - Hencky","gamma [1] - Hencky","cxx [1/mm] - 31 filter","cyy [1/mm] - 31 filter","cxy [1/mm] - 31 filter","c1 [1/mm] - 31 filter","c2 [1/mm] - 31 filter","gamma_c [1] - 31 filter","phi [rad] - 15 filter","sigma [pixel]","q_ref [pixel]","r_ref [pixel]"
-10,-10,9.97766,-0.711425,-0.240809,9.85609,0.0879538,0.0226533,0.00169953,0.0879981,0.0226089,0.0260019,-0.0112901,-0.00230772,0.000190801,-0.00230363,-0.0112942,1.54957,-0.00702423,0.00494675,240.161,-12.1307
-9.5,-10,10.091,-0.680428,-0.243219,9.96488,0.0879085,0.0229244,0.00160702,0.0879483,0.0228845,0.0247088,-0.0112834,-0.00230497,0.000154927,-0.00230226,-0.0112862,1.55355,-0.00669098,0.00502837,240.023,-12.1981
-9,-10,10.1973,-0.64888,-0.245526,10.0666,0.0878357,0.02318,0.00153628,0.0878722,0.0231434,0.0237429,-0.0112752,-0.00230043,0.000121964,-0.00229874,-0.0112769,1.55721,-0.00636515,0.00490575,239.89,-12.2644
-8.5,-10,10.2971,-0.61637,-0.24797,10.163,0.087749,0.0234195,0.00147826,0.087783,0.0233855,0.0229635,-0.0112672,-0.00229357,9.70547e-05,-0.00229249,-0.0112683,1.55998,-0.00604609,0.0046444,239.767,-12.3257
-8,-10,10.391,-0.582598,-0.250437,10.2543,0.0876802,0.0236437,0.00142811,0.0877121,0.0236119,0.0222873,-0.0112617,-0.00228462,8.32654e-05,-0.00228383,-0.0112625,1.56152,-0.00573388,0.00469237,239.653,-12.39
-7.5,-10,10.4805,-0.547899,-0.252436,10.341,0.0876386,0.0238518,0.00138171,0.0876685,0.0238218,0.0216488,-0.0112602,-0.00227443,8.08309e-05,-0.0022737,-0.0112609,1.5618,-0.00542794,0.00489129,239.542,-12.4583
-7,-10,10.5623,-0.511715,-0.254398,10.4195,0.0875992,0.0240426,0.0013373,0.0876274,0.0240145,0.0210297,-0.0112623,-0.00226425,8.71635e-05,-0.0022634,-0.0112632,1.56111,-0.00512096,0.00485342,239.432,-12.5229
-6.5,-10,10.6389,-0.474663,-0.256382,10.4918,0.0875486,0.0242183,0.00129308,0.087575,0.0241919,0.0204076,-0.0112657,-0.00225535,9.75974e-05,-0.00225429,-0.0112668,1.55997,-0.00480546,0.00479827,239.32,-12.5818
-6,-10,10.7105,-0.437201,-0.258231,10.5595,0.0874977,0.0243809,0.00124057,0.0875221,0.0243565,0.0196459,-0.0112665,-0.00224878,0.000106739,-0.00224751,-0.0112678,1.55896,-0.00448151,0.00470136,239.214,-12.64
-5.5,-10,10.7759,-0.399807,-0.259584,10.6223,0.0874664,0.0245318,0.00117532,0.0874884,0.0245098,0.0186674,-0.0112611,-0.00224522,0.000109968,-0.00224388,-0.0112624,1.5586,-0.00414991,0.00469906,239.12,-12.6959
-5,-10,10.8357,-0.362242,-0.260617,10.6805,0.0874555,0.0246729,0.00109708,0.0874746,0.0246537,0.0174679,-0.0112474,-0.00224489,0.000104845,-0.00224366,-0.0112486,1.55915,-0.00381238,0.00504265,239.036,-12.7582
-4.5,-10,10.889,-0.323328,-0.261774,10.7319,0.0874391,0.0248028,0.00100872,0.0874554,0.0247865,0.0160995,-0.0112267,-0.00224757,9.18009e-05,-0.00224663,-0.0112276,1.56057,-0.0034673,0.00533457,238.953,-12.8246
-4,-10,10.9371,-0.283304,-0.263097,10.7781,0.0874065,0.024918,0.000912725,0.0874198,0.0249047,0.0146026,-0.0112028,-0.00225274,7.36004e-05,-0.00225213,-0.0112034,1.56257,-0.00311597,0.00540116,238.875,-12.8896
-3.5,-10,10.98,-0.242565,-0.264501,10.8195,0.0873486,0.0250194,0.000810145,0.0873591,0.0250089,0.0129952,-0.0111818,-0.00225958,5.437e-05,-0.00225924,-0.0111822,1.5647,-0.00276309,0.00518605,238.802,-12.9541
-3,-10,11.0149,-0.201462,-0.265411,10.8528,0.0872688,0.0251063,0.00070381,0.0872767,0.0250983,0.0113203,-0.0111696,-0.0022671,3.76525e-05,-0.00226693,-0.0111698,1.56657,-0.00241135,0.0049264,238.733,-13.0174
-2.5,-10,11.0442,-0.160387,-0.265978,10.8798,0.0871836,0.0251772,0.000592465,0.0871893,0.0251715,0.00955371,-0.0111702,-0.00227418,2.53914e-05,-0.0022741,-0.0111703,1.56794,-0.00206228,0.00498715,238.664,-13.0792
-2,-10,11.0705,-0.119409,-0.266527,10.9034,0.0870923,0.0252306,0.000476455,0.087096,0.0252269,0.00770121,-0.0111845,-0.00227965,1.74827e-05,-0.00227961,-0.0111846,1.56883,-0.00171878,0.00504354,238.595,-13.1396
-1.5,-10,11.0925,-0.0780329,-0.267135,10.9242,0.0869836,0.0252655,0.000362588,0.0869858,0.0252633,0.00587449,-0.0112096,-0.00228247,1.21705e-05,-0.00228246,-0.0112096,1.56943,-0.00137786,0.00489591,238.539,-13.1987
-1,-10,11.1075,-0.0361582,-0.267711,10.9388,0.0868578,0.0252824,0.000256478,0.0868589,0.0252813,0.00416506,-0.0112392,-0.00228199,6.81632e-06,-0.00228198,-0.0112392,1.57004,-0.00103472,0.00473655,238.492,-13.2565
-0.5,-10,11.1155,0.00581519,-0.267933,10.9463,0.0867248,0.0252848,0.000156965,0.0867252,0.0252844,0.00255463,-0.0112667,-0.00227804,-1.24103e-06,-0.00227804,-0.0112667,-0.402813,-0.000690135,0.00467632,238.447,-13.3181
0,-10,11.1184,0.0475856,-0.26799,10.948,0.0865976,0.0252754,5.98054e-05,0.0865977,0.0252754,0.000975103,-0.0112861,-0.00227107,-1.37121e-05,-0.00227104,-0.0112862,-1.56928,-0.000344092,0.00468932,238.403,-13.379
0.5,-10,11.1163,0.0886532,-0.268163,10.9443,0.0864848,0.0252559,-3.77884e-05,0.0864849,0.0252558,-0.000617394,-0.0112944,-0.00226204,-3.08027e-05,-0.00226192,-0.0112945,-1.56739,-2.97623e-07,0.00464342,238.36,-13.4399
1,-10,11.1066,0.129847,-0.268272,10.9342,0.0863963,0.0252283,-0.000134833,0.0863966,0.025228,-0.00220447,-0.0112913,-0.00225224,-5.1077e-05,-0.00225194,-0.0112916,-1.56515,0.00033813,0.00467659,238.327,-13.5012
1.5,-10,11.092,0.171029,-0.26827,10.9192,0.0863522,0.0251936,-0.000228675,0.086353,0.0251927,-0.00373908,-0.0112789,-0.00224296,-7.19571e-05,-0.00224238,-0.0112795,-1.56283,0.000676533,0.00483981,238.297,-13.5622
2,-10,11.0736,0.211636,-0.267921,10.9002,0.0863451,0.0251521,-0.000321387,0.0863468,0.0251504,-0.00525196,-0.0112605,-0.00223526,-9.0388e-05,-0.00223435,-0.0112614,-1.56078,0.0010211,0.00492736,238.271,-13.6239
2.5,-10,11.0489,0.251525,-0.26741,10.8758,0.0863589,0.0251043,-0.000414174,0.0863617,0.0251014,-0.00676123,-0.0112392,-0.00222987,-0.000103737,-0.00222868,-0.0112404,-1.55928,0.00137109,0.00485609,238.254,-13.6854
3,-10,11.0177,0.291465,-0.266792,10.8463,0.0863889,0.0250494,-0.000506584,0.0863932,0.0250452,-0.00825807,-0.0112176,-0.00222726,-0.000110512,-0.0022259,-0.0112189,-1.55851,0.00172222,0.00477022,238.248,-13.7498
3.5,-10,10.981,0.331671,-0.266135,10.8126,0.0864346,0.0249866,-0.000598977,0.0864405,0.0249807,-0.00974652,-0.0111976,-0.00222764,-0.000110837,-0.00222627,-0.0111989,-1.55844,0.00207157,0.00458812,238.254,-13.817
4,-10,10.9383,0.371811,-0.265479,10.773,0.0864959,0.0249123,-0.00069405,0.0865038,0.0249045,-0.0112681,-0.011181,-0.00223116,-0.000106575,-0.00222989,-0.0111823,-1.55889,0.00241758,0.00445497,238.264,-13.8798
4.5,-10,10.8915,0.411302,-0.264667,10.7273,0.0865674,0.0248247,-0.000795037,0.0865777,0.0248144,-0.0128736,-0.01117,-0.00223795,-0.00010075,-0.00223681,-0.0111711,-1.55952,0.00276276,0.0045619,238.266,-13.938
5,-10,10.8385,0.450584,-0.263623,10.6758,0.0866579,0.0247223,-0.00089975,0.086671,0.0247092,-0.0145226,-0.0111669,-0.00224798,-9.6627e-05,-0.00224692,-0.0111679,-1.55997,0.00310923,0.00482444,238.273,-13.9951
5.5,-10,10.7789,0.489207,-0.26246,10.6187,0.086786,0.0246045,-0.00100789,0.0868024,0.0245881,-0.0162023,-0.011174,-0.002261,-9.68896e-05,-0.00225993,-0.011175,-1.55993,0.00345645,0.00494751,238.291,-14.0609
6,-10,10.7134,0.526725,-0.261117,10.5563,0.0869368,0.0244722,-0.00112189,0.086957,0.024452,-0.0179516,-0.0111922,-0.00227641,-0.000102783,-0.00227519,-0.0111934,-1.55927,0.0038022,0.00489569,238.316,-14.131
6.5,-10,10.6429,0.563496,-0.259526,10.4871,0.087079,0.024325,-0.001241,0.0871037,0.0243004,-0.0197642,-0.0112201,-0.00229315,-0.000113809,-0.00229166,-0.0112216,-1.55805,0.00414832,0.00482711,238.334,-14.1975
7,-10,10.5682,0.599757,-0.257801,10.4129,0.0872195,0.0241642,-0.00135713,0.0872487,0.024135,-0.0215084,-0.0112529,-0.00230862,-0.000129012,-0.00230675,-0.0112548,-1.55638,0.00448939,0.00444609,238.352,-14.2573
7.5,-10,10.4885,0.635369,-0.256144,10.3346,0.0873816,0.0239928,-0.00147458,0.0874159,0.0239585,-0.0232447,-0.0112842,-0.00232377,-0.000144304,-0.00232144,-0.0112866,-1.5547,0.00484118,0.00456553,238.378,-14.3177
8,-10,10.4024,0.669914,-0.254684,10.2513,0.0875668,0.0238107,-0.00159365,0.0876066,0.0237709,-0.0249743,-0.0113063,-0.00233629,-0.000157012,-0.00233353,-0.0113091,-1.5533,0.00520046,0.00463654,238.416,-14.3808
8.5,-10,10.3076,0.703674,-0.253136,10.1609,0.0877408,0.0236165,-0.0017157,0.0877867,0.0235706,-0.0267295,-0.0113149,-0.00234563,-0.000165505,-0.00234258,-0.011318,-1.55235,0.00556731,0.00455107,238.468,-14.4431
9,-10,10.2047,0.736964,-0.25108,10.0633,0.0878801,0.0234087,-0.00183464,0.0879323,0.0233565,-0.0284255,-0.0113106,-0.00235203,-0.000169732,-0.00234881,-0.0113138,-1.55186,0.00594396,0.00442512,238.528,-14.51
9.5,-10,10.096,0.769552,-0.248814,9.95971,0.0879943,0.0231871,-0.00194844,0.0880528,0.0231286,-0.0300286,-0.0112987,-0.00235632,-0.000171009,-0.00235306,-0.0113019,-1.55168,0.00632965,0.00436159,238.591,-14.5787
10,-10,9.98354,0.800668,-0.246496,9.85103,0.0881028,0.0229507,-0.00206074,0.088168,0.0228855,-0.0315872,-0.0112867,-0.00235967,-0.000171383,-0.00235638,-0.01129,-1.55161,0.00672408,0.00441677,238.651,-14.6424
10.5,-10,9.8667,0.830286,-0.244089,9.73713,0.0882024,0.0226981,-0.00217121,0.0882743,0.0226261,-0.0330973,-0.0112818,-0.00236312,-0.000172958,-0.00235977,-0.0112851,-1.55141,0.00713013,0.00441036,238.709,-14.6995
11,-10,9.7438,0.858829,-0.24156,9.6179,0.0882783,0.0224306,-0.00228005,0.0883572,0.0223517,-0.0345707,-0.0112869,-0.00236737,-0.000177358,-0.00236384,-0.0112905,-1.55092,0.00754615,0.00420779,238.776,-14.7571
11.5,-10,9.61413,0.885902,-0.238723,9.49238,0.0883373,0.0221478,-0.00238536,0.0884232,0.0220619,-0.035976,-0.0113007,-0.00237265,-0.000185388,-0.0023688,-0.0113046,-1.55004,0.00797052,0.00435331,238.85,-14.8197
12,-10,9.47814,0.911169,-0.235894,9.36,0.0883909,0.021848,-0.00248669,0.0884838,0.0217552,-0.0373005,-0.0113179,-0.00237881,-0.000197093,-0.00237446,-0.0113222,-1.54876,0.00839934,0.00459669,238.925,-14.8843
12.5,-10,9.33605,0.935116,-0.232567,9.22202,0.0884195,0.0215343,-0.00259016,0.0885197,0.0214342,-0.0386486,-0.0113321,-0.00238547,-0.000211884,-0.00238045,-0.0113371,-1.54713,0.0088261,0.0044444,239.006,-14.9498
13,-10,9.18703,0.957344,-0.229099,9.078,0.0884312,0.0212076,-0.00269698,0.0885393,0.0210995,-0.0400344,-0.0113386,-0.0023922,-0.00022872,-0.00238636,-0.0113444,-1.54525,0.00924747,0.00422896,239.098,-15.0119
13.5,-10,9.02996,0.978015,-0.225813,8.92747,0.0884684,0.0208704,-0.00280742,0.0885848,0.020754,-0.0414362,-0.011336,-0.0023986,-0.000246106,-0.00239182,-0.0113427,-1.54329,0.00965966,0.00427973,239.202,-15.0727
14,-10,8.86724,0.997228,-0.221972,8.77127,0.0885304,0.0205202,-0.00292141,0.0886557,0.0203949,-0.04285,-0.011328,-0.00240436,-0.000262435,-0.00239664,-0.0113357,-1.54142,0.0100639,0.00440934,239.311,-15.14
14.5,-10,8.69688,1.01438,-0.218101,8.6082,0.0885837,0.0201563,-0.00303922,0.0887185,0.0200215,-0.0442983,-0.0113206,-0.00240922,-0.000276396,-0.00240065,-0.0113292,-1.53982,0.0104641,0.00450093,239.428,-15.2112
15,-10,8.52053,1.02943,-0.214145,8.43936,0.0886206,0.0197794,-0.00315506,0.0887649,0.0196351,-0.0457024,-0.0113196,-0.00241296,-0.000287204,-0.00240371,-0.0113288,-1.53859,0.0108582,0.00448344,239.551,-15.2826
15.5,-10,8.3385,1.0424,-0.209943,8.26452,0.0886625,0.0193876,-0.00326649,0.0888163,0.0192338,-0.0470121,-0.011328,-0.00241542,-0.000294753,-0.00240568,-0.0113377,-1.53777,0.0112512,0.00449868,239.677,-15.3489
16,-10,8.1496,1.05335,-0.205617,8.08282,0.0887117,0.018978,-0.00338471,0.0888757,0.018814,-0.0483841,-0.0113452,-0.00241661,-0.00029965,-0.00240656,-0.0113552,-1.53729,0.0116402,0.00459492,239.808,-15.4096
16.5,-10,7.95339,1.06177,-0.201259,7.89329,0.0887657,0.0185492,-0.00351013,0.0889408,0.0183741,-0.0498224,-0.0113673,-0.0024168,-0.000303002,-0.00240655,-0.0113775,-1.53699,0.0120313,0.00466989,239.94,-15.4698
17,-10,7.75116,1.06769,-0.196844,7.69781,0.0888185,0.0180991,-0.00363459,0.0890049,0.0179128,-0.0512139,-0.011389,-0.00241655,-0.000305899,-0.00240614,-0.0113994,-1.53676,0.0124328,0.00470423,240.077,-15.5302
17.5,-10,7.54096,1.07146,-0.192237,7.49541,0.0888772,0.0176276,-0.00376203,0.0890753,0.0174295,-0.0526048,-0.0114059,-0.00241691,-0.000308946,-0.0024063,-0.0114165,-1.53648,0.0128456,0.00469952,240.225,-15.5917
18,-10,7.32255,1.07278,-0.187391,7.28535,0.0889466,0.0171348,-0.00388844,0.0891566,0.0169248,-0.0539366,-0.0114167,-0.00241909,-0.000312222,-0.00240827,-0.0114275,-1.53615,0.0132705,0.0047048,240.381,-15.6547
18.5,-10,7.09678,1.07147,-0.182221,7.0681,0.0890053,0.0166222,-0.0040127,0.0892271,0.0164004,-0.0552109,-0.0114232,-0.00242429,-0.000314851,-0.00241329,-0.0114342,-1.53587,0.0137092,0.00475099,240.543,-15.7211
19,-10,6.86441,1.06738,-0.176547,6.84463,0.089036,0.0160932,-0.00414712,0.0892711,0.0158582,-0.0566111,-0.0114292,-0.0024334,-0.000315504,-0.00242234,-0.0114403,-1.53578,0.0141542,0.00487743,240.712,-15.7952
19.5,-10,6.62292,1.05995,-0.170925,6.61259,0.0890817,0.0155433,-0.00428232,0.0893302,0.0152948,-0.057971,-0.0114392,-0.00244694,-0.000312735,-0.00243607,-0.0114501,-1.53607,0.0146143,0.00547432,240.89,-15.8708
20,-10,6.37437,1.04976,-0.165141,6.37248,0.0891651,0.014973,-0.00440767,0.089426,0.014712,-0.0591305,-0.0114556,-0.00246438,-0.000306363,-0.00245395,-0.011466,-1.53678,0.0150955,0.00553016,241.067,-15.9409
20.5,-10,6.11884,1.03624,-0.158743,6.12438,0.0892613,0.0143848,-0.00453705,0.0895353,0.0141109,-0.0602979,-0.0114774,-0.00248432,-0.00029754,-0.00247448,-0.0114873,-1.53776,0.0155851,0.00545121,241.244,-16.0028
21,-10,5.8539,1.01928,-0.152295,5.86858,0.089354,0.0137803,-0.00466799,0.0896413,0.0134931,-0.0614542,-0.0115014,-0.00250498,-0.000287795,-0.00249578,-0.0115106,-1.53885,0.0160791,0.00559344,241.437,-16.0698
21.5,-10,5.58125,0.998349,-0.145816,5.60554,0.0894863,0.0131557,-0.00479184,0.0897859,0.012856,-0.0624489,-0.011523,-0.00252437,-0.00027806,-0.00251579,-0.0115316,-1.53994,0.0165809,0.00584392,241.638,-16.1448
22,-10,5.30073,0.972433,-0.139248,5.33431,0.0896631,0.0125101,-0.0049098,0.0899743,0.0121989,-0.0632956,-0.0115391,-0.00254093,-0.000268202,-0.00253294,-0.0115471,-1.54103,0.0170921,0.00576786,241.843,-16.2212
22.5,-10,5.01214,0.942668,-0.132223,5.05586,0.0898507,0.011845,-0.00501545,0.0901719,0.0115238,-0.0639447,-0.011548,-0.00255378,-0.000256564,-0.00254646,-0.0115554,-1.5423,0.0176058,0.00561431,242.059,-16.2916
23,-10,4.71249,0.9098,-0.124254,4.76851,0.0900569,0.0111587,-0.00511147,0.0903867,0.0108288,-0.0644272,-0.0115526,-0.00256309,-0.000241285,-0.00255662,-0.0115591,-1.54398,0.0181155,0.00572675,242.293,-16.3589
23.5,-10,4.40046,0.87336,-0.116539,4.47119,0.0903157,0.0104531,-0.00519859,0.0906527,0.0101161,-0.0647314,-0.0115603,-0.00257058,-0.000220778,-0.00256515,-0.0115657,-1.54626,0.0186257,0.00622666,242.548,-16.4288
24,-10,4.08123,0.832801,-0.10826,4.16542,0.0905962,0.0097252,-0.00528238,0.0909399,0.00938154,-0.0649531,-0.0115784,-0.00257876,-0.000196251,-0.00257446,-0.0115827,-1.549,0.019134,0.00640549,242.802,-16.5005
24.5,-10,3.75327,0.787191,-0.0995789,3.84954,0.0908955,0.00897584,-0.00536366,0.0912453,0.00862603,-0.065103,-0.0116119,-0.00259092,-0.000171176,-0.00258765,-0.0116152,-1.55183,0.0196403,0.00667961,243.055,-16.5726
25,-10,3.41467,0.737193,-0.0909578,3.52398,0.0912563,0.00820643,-0.00544105,0.0916114,0.00785135,-0.0651442,-0.011662,-0.00260503,-0.000147247,-0.00260262,-0.0116644,-1.55454,0.0201409,0.00676639,243.32,-16.6415
25.5,-10,3.06739,0.681512,-0.0813459,3.19067,0.091701,0.00741839,-0.00552697,0.0920621,0.00705734,-0.0652059,-0.0117265,-0.00262162,-0.000128192,-0.00261979,-0.0117284,-1.55672,0.0206429,0.00699348,243.597,-16.7153
26,-10,2.7108,0.619306,-0.0722637,2.84625,0.0921413,0.00660867,-0.00561917,0.092509,0.00624093,-0.0653257,-0.0118015,-0.00263851,-0.000116402,-0.002637,-0.011803,-1.55809,0.0211405,0.0072142,243.873,-16.7886
26.5,-10,2.34022,0.551822,-0.0626502,2.48944,0.0926455,0.00578323,-0.00572155,0.0930209,0.0054078,-0.0654988,-0.0118797,-0.00265373,-0.000110738,-0.00265237,-0.011881,-1.55879,0.0216387,0.00754514,244.165,-16.8501
27,-10,1.95415,0.478317,-0.0516979,2.11875,0.0932909,0.00494223,-0.00584191,0.0936757,0.0045574,-0.065739,-0.0119579,-0.00266801,-0.000109034,-0.00266671,-0.0119592,-1.55906,0.0221543,0.00813423,244.474,-16.92
27.5,-10,1.56031,0.400467,-0.0412326,1.73869,0.0940634,0.00408476,-0.00598711,0.0944602,0.00368791,-0.0661514,-0.0120325,-0.00267749,-0.000110626,-0.00267616,-0.0120338,-1.55897,0.0226722,0.0087085,244.781,-17.0035
28,-10,1.1541,0.313491,-0.0301942,1.34453,0.095006,0.00320477,-0.00616643,0.0954186,0.00279218,-0.0667762,-0.0121043,-0.00268424,-0.000113228,-0.00268286,-0.0121057,-1.55877,0.0232102,0.00923021,245.089,-17.0819
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-10,-9.5,10.003,-0.713763,-0.229942,9.88171,0.0881071,0.0226202,0.00161669,0.088147,0.0225803,0.0246665,-0.0112683,-0.00229803,0.00018397,-0.00229423,-0.011272,1.5503,-0.00665572,0.00520309,240.101,-12.0896
-9.5,-9.5,10.1176,-0.682601,-0.232311,9.99158,0.0880946,0.022895,0.00151948,0.08813,0.0228596,0.0232881,-0.0112599,-0.00229406,0.00014796,-0.00229159,-0.0112624,1.5543,-0.00633317,0.00519101,239.963,-12.1577
-9,-9.5,10.2247,-0.650748,-0.234551,10.0933,0.0880505,0.023154,0.0014436,0.0880826,0.0231219,0.0222305,-0.0112534,-0.00229004,0.00011273,-0.0022886,-0.0112548,1.55822,-0.00601904,0.00509168,239.825,-12.2215
-8.5,-9.5,10.3241,-0.617803,-0.236927,10.189,0.0879845,0.0233962,0.00138235,0.0880141,0.0233666,0.0213901,-0.0112499,-0.00228513,8.43855e-05,-0.00228433,-0.0112507,1.56138,-0.0057142,0.00488852,239.701,-12.2838
-8,-9.5,10.4179,-0.583714,-0.239217,10.281,0.087929,0.0236224,0.00133184,0.0879566,0.0235948,0.0206999,-0.0112505,-0.00227886,6.72302e-05,-0.00227835,-0.011251,1.5633,-0.00541827,0.00480376,239.591,-12.3508
-7.5,-9.5,10.5073,-0.549015,-0.241195,10.368,0.0878943,0.0238315,0.00128631,0.0879201,0.0238056,0.0200691,-0.0112551,-0.00227126,6.2673e-05,-0.00227082,-0.0112556,1.56382,-0.0051302,0.00489709,239.482,-12.421
-7,-9.5,10.5887,-0.512576,-0.243141,10.4458,0.0878533,0.0240222,0.00124369,0.0878775,0.023998,0.0194752,-0.0112617,-0.00226293,6.90101e-05,-0.00226239,-0.0112622,1.56313,-0.00484225,0.00487869,239.371,-12.4866
-6.5,-9.5,10.6654,-0.475284,-0.245036,10.5183,0.0877917,0.0241965,0.0012032,0.0878145,0.0241737,0.0189117,-0.0112667,-0.00225481,8.18649e-05,-0.00225406,-0.0112675,1.56171,-0.00454574,0.00494185,239.26,-12.5473
-6,-9.5,10.7375,-0.437586,-0.246739,10.5867,0.0877213,0.0243559,0.00115667,0.0877424,0.0243348,0.0182467,-0.0112662,-0.00224804,9.55951e-05,-0.00224702,-0.0112672,1.5602,-0.00424094,0.0049644,239.155,-12.6098
-5.5,-9.5,10.8014,-0.399748,-0.248048,10.6485,0.0876668,0.0245019,0.0010997,0.087686,0.0244827,0.0174036,-0.0112571,-0.00224368,0.000104923,-0.00224246,-0.0112584,1.55916,-0.00392943,0.00506425,239.064,-12.6718
-5,-9.5,10.8613,-0.362161,-0.249023,10.7071,0.087633,0.0246373,0.00103058,0.0876499,0.0246204,0.0163542,-0.011239,-0.00224247,0.000106514,-0.00224121,-0.0112403,1.55896,-0.00361194,0.00523238,238.981,-12.7381
-4.5,-9.5,10.9162,-0.323683,-0.250001,10.7602,0.0875971,0.0247613,0.00094992,0.0876115,0.0247469,0.0151134,-0.0112145,-0.00224468,9.97569e-05,-0.00224357,-0.0112157,1.55968,-0.00328677,0.00534215,238.9,-12.8096
-4,-9.5,10.9637,-0.283498,-0.250903,10.8058,0.087551,0.02487,0.000860059,0.0875628,0.0248582,0.0137182,-0.0111887,-0.00225002,8.64397e-05,-0.00224918,-0.0111896,1.56113,-0.00295571,0.00520642,238.821,-12.8756
-3.5,-9.5,11.0067,-0.242588,-0.252093,10.8466,0.0874849,0.0249656,0.000762113,0.0874942,0.0249563,0.0121879,-0.0111677,-0.00225753,7.00347e-05,-0.00225697,-0.0111683,1.56294,-0.00262206,0.00493629,238.745,-12.9382
-3,-9.5,11.0429,-0.201484,-0.25306,10.8801,0.0874003,0.0250471,0.00065851,0.0874073,0.0250401,0.0105596,-0.0111569,-0.00226599,5.35958e-05,-0.00226566,-0.0111572,1.56477,-0.00228856,0.00472446,238.669,-12.9992
-2.5,-9.5,11.0719,-0.160582,-0.253876,10.9062,0.087312,0.0251136,0.000548017,0.0873169,0.0251087,0.00881,-0.0111593,-0.00227402,3.89428e-05,-0.00227385,-0.0111595,1.56641,-0.00195714,0.00490008,238.596,-13.0608
-2,-9.5,11.0975,-0.119772,-0.254573,10.9289,0.0872204,0.0251644,0.000430775,0.0872235,0.0251613,0.00694138,-0.011175,-0.00228031,2.62445e-05,-0.00228023,-0.011175,1.56785,-0.00163032,0.00497784,238.527,-13.1232
-1.5,-9.5,11.1188,-0.0784739,-0.255151,10.9497,0.0871171,0.0251987,0.000314486,0.0871188,0.025197,0.005079,-0.0112002,-0.00228383,1.44885e-05,-0.00228381,-0.0112002,1.56917,-0.0013048,0.00492157,238.474,-13.1862
-1,-9.5,11.1333,-0.0365581,-0.255657,10.9644,0.0870001,0.0252167,0.000206737,0.0870008,0.0252159,0.0033463,-0.0112289,-0.00228413,2.16687e-06,-0.00228412,-0.0112289,1.05985,-0.000976222,0.00490528,238.431,-13.25
-0.5,-9.5,11.1412,0.00554609,-0.256014,10.9714,0.0868727,0.025221,0.000107718,0.0868729,0.0252208,0.00174745,-0.0112546,-0.0022813,-1.20908e-05,-0.00228127,-0.0112546,-1.56945,-0.000645956,0.00485178,238.384,-13.3166
3.72529e-09,-9.5,11.1447,0.0474221,-0.256241,10.9733,0.0867489,0.025214,1.34701e-05,0.0867489,0.0252139,0.000219265,-0.0112722,-0.00227604,-2.88389e-05,-0.00227593,-0.0112723,-1.56759,-0.000314023,0.004914,238.337,-13.3789
0.5,-9.5,11.1421,0.0887825,-0.256475,10.9696,0.0866419,0.0251969,-7.89612e-05,0.086642,0.0251967,-0.00128457,-0.0112792,-0.00226951,-4.75446e-05,-0.00226924,-0.0112795,-1.56552,1.54112e-05,0.00480454,238.297,-13.4394
1,-9.5,11.1319,0.13038,-0.25658,10.9595,0.0865595,0.0251718,-0.000168936,0.08656,0.0251713,-0.00275123,-0.011276,-0.002263,-6.67137e-05,-0.00226249,-0.0112765,-1.56339,0.000338497,0.00467085,238.267,-13.5047
1.5,-9.5,11.1178,0.1717,-0.256642,10.9449,0.0865162,0.0251395,-0.000254384,0.0865173,0.0251384,-0.00414369,-0.0112649,-0.00225767,-8.4325e-05,-0.00225687,-0.0112657,-1.56143,0.000660686,0.0047112,238.237,-13.5739
2,-9.5,11.0992,0.212226,-0.256424,10.9254,0.0865061,0.0250999,-0.000337712,0.086508,0.0250981,-0.00549853,-0.011249,-0.00225426,-9.81577e-05,-0.00225318,-0.0112501,-1.55988,0.000988257,0.00483762,238.209,-13.6414
2.5,-9.5,11.0741,0.252108,-0.255939,10.9005,0.0865178,0.0250528,-0.000420215,0.0865207,0.0250499,-0.0068353,-0.0112311,-0.0022531,-0.000106367,-0.00225184,-0.0112324,-1.55895,0.00132022,0.00487714,238.191,-13.7021
3,-9.5,11.0429,0.292156,-0.255251,10.8712,0.0865474,0.0249971,-0.000501789,0.0865515,0.0249929,-0.00815083,-0.0112129,-0.00225413,-0.000107985,-0.00225283,-0.0112142,-1.55875,0.00165177,0.00482908,238.187,-13.7633
3.5,-9.5,11.0063,0.332422,-0.254412,10.8382,0.0865919,0.0249317,-0.000583977,0.0865975,0.0249261,-0.00946877,-0.0111956,-0.00225708,-0.000103279,-0.00225588,-0.0111968,-1.55925,0.00197972,0.00462719,238.195,-13.8299
4,-9.5,10.9638,0.372576,-0.253624,10.799,0.0866497,0.0248537,-0.000669532,0.086657,0.0248464,-0.0108318,-0.0111803,-0.0022618,-9.39993e-05,-0.00226079,-0.0111813,-1.56026,0.00230283,0.00425242,238.207,-13.8945
