"X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Hencky","eyy [1] - Hencky","exy [1] - Hencky","e1 [1] - Hencky","e2 [1] - Hencky","gamma [1] - Hencky","cxx [1/mm] - 31 filter","cyy [1/mm] - 31 filter","cxy [1/mm] - 31 filter","c1 [1/mm] - 31 filter","c2 [1/mm] - 31 filter","gamma_c [1] - 31 filter","phi [rad] - 15 filter","sigma [pixel]","q_ref [pixel]","r_ref [pixel]"
23,24.5,3.15393,0.644578,0.227518,3.25619,0.0818832,0.0109457,0.0113163,0.083645,0.00918393,0.154416,-0.0119638,-0.00287766,0.000604553,-0.0028376,-0.0120039,1.50465,-0.0450254,0.00832064,238.4,-23.1972
23.5,24.5,2.83118,0.596649,0.207171,2.94581,0.0821553,0.0102541,0.01161,0.0839837,0.00842569,0.156186,-0.0120093,-0.00289541,0.000586625,-0.00285779,-0.0120469,1.50679,-0.0462892,0.00794461,238.644,-23.4448
24,24.5,2.49656,0.542965,0.185606,2.62322,0.0825745,0.00952306,0.011934,0.0844749,0.00762271,0.157903,-0.0120741,-0.00290888,0.000571089,-0.00287342,-0.0121095,1.50881,-0.0475808,0.0076465,238.894,-23.692
24.5,24.5,2.14997,0.483723,0.163993,2.28737,0.0830815,0.00876125,0.0122695,0.0850549,0.00678791,0.159464,-0.0121617,-0.00291893,0.000557883,-0.00288537,-0.0121953,1.51073,-0.0488924,0.00820193,239.143,-23.9486
25,24.5,1.79186,0.418889,0.140991,1.94065,0.0837446,0.00798004,0.0126626,0.0858051,0.00591952,0.161297,-0.0122766,-0.00292568,0.000546497,-0.00289384,-0.0123084,1.51261,-0.050255,0.00902387,239.403,-24.2066
25.5,24.5,1.4244,0.349268,0.11643,1.58544,0.0846725,0.00717566,0.013146,0.0868421,0.00500609,0.163542,-0.0124233,-0.00293145,0.000538559,-0.00290099,-0.0124537,1.51429,-0.0516768,0.00919202,239.675,-24.4582
26,24.5,1.04213,0.271686,0.0914408,1.21402,0.086096,0.00635271,0.0138111,0.0884209,0.00402777,0.166705,-0.012615,-0.00293881,0.000534833,-0.00290932,-0.0126445,1.51573,-0.0531981,0.00966889,239.947,-24.7152
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-10,25,8.56787,-0.644172,0.555764,8.48262,0.0791861,0.0205587,-0.00416309,0.0794803,0.0202645,-0.0705343,-0.0116687,-0.00239945,-0.000264255,-0.00239192,-0.0116762,-1.54232,0.0187814,0.00474582,236.092,-9.19399
-9.5,25,8.68673,-0.61862,0.562829,8.597,0.0791827,0.0208676,-0.00394385,0.0794483,0.020602,-0.0672197,-0.0117149,-0.00240044,-0.000254483,-0.00239349,-0.0117218,-1.5435,0.0178183,0.0049339,235.955,-9.40229
-9,25,8.79968,-0.592198,0.569357,8.70596,0.0791815,0.0211655,-0.0037287,0.0794203,0.0209268,-0.0639184,-0.0117546,-0.00239964,-0.000244789,-0.00239324,-0.011761,-1.54465,0.0168419,0.00497758,235.826,-9.60901
-8.5,25,8.90466,-0.56453,0.575819,8.80799,0.0791886,0.0214513,-0.00351264,0.0794016,0.0212384,-0.0605405,-0.0117842,-0.00239393,-0.000233865,-0.0023881,-0.01179,-1.54591,0.015866,0.00490525,235.706,-9.81564
-8,25,9.00259,-0.53528,0.582213,8.90368,0.0792013,0.0217212,-0.00329685,0.0793898,0.0215327,-0.0571076,-0.0117986,-0.00238088,-0.00022156,-0.00237565,-0.0118039,-1.54729,0.0149061,0.00501635,235.595,-10.0203
-7.5,25,9.0948,-0.50466,0.588232,8.99345,0.0792157,0.0219726,-0.0030897,0.079382,0.0218063,-0.0537679,-0.0117917,-0.00235885,-0.000208602,-0.00235419,-0.0117963,-1.5487,0.013957,0.00518699,235.486,-10.2262
-7,25,9.18015,-0.472698,0.593559,9.07548,0.0792266,0.0222055,-0.00288262,0.079372,0.0220601,-0.0503832,-0.0117595,-0.00232796,-0.000195991,-0.0023238,-0.0117637,-1.55003,0.0130219,0.00548391,235.377,-10.4326
-6.5,25,9.25848,-0.439693,0.59837,9.15109,0.0792344,0.0224231,-0.00267255,0.0793599,0.0222976,-0.0469054,-0.0117025,-0.00228994,-0.000184581,-0.0022862,-0.0117062,-1.5512,0.0121042,0.00539209,235.275,-10.6415
-6,25,9.33156,-0.406574,0.602874,9.22169,0.0792428,0.0226282,-0.00246064,0.0793497,0.0225214,-0.0433551,-0.0116263,-0.00224773,-0.000174773,-0.00224433,-0.0116297,-1.55217,0.0111968,0.00530425,235.179,-10.853
-5.5,25,9.39811,-0.372851,0.607064,9.28825,0.0792515,0.0228176,-0.00224384,0.0793407,0.0227284,-0.0396785,-0.0115431,-0.00220553,-0.000166386,-0.00220243,-0.0115462,-1.55299,0.0102988,0.00568753,235.1,-11.0716
